time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
0,0.9999997981759818,1.345493454678903e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999327253273
1,0.9999997981759818,1.345493454678903e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999327253273
2,0.9999997981759818,1.345493454678903e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999327253273
3,0.9999997981759818,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,0.9999999327253273
4,0.9999997981759818,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,0.9999999327253273
5,0.9999997981759818,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,0.9999999327253273
6,0.9999997981759818,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,1.0
7,0.9999997981759818,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,1.0
8,0.9999997309013091,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,0.9999999327253273
9,0.9999997309013091,1.345493454678903e-07,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,0.9999999327253273
10,0.9999997309013091,2.0182401820183546e-07,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,1.0
11,0.9999997309013091,2.0182401820183546e-07,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,1.0
12,0.9999995290772908,2.690986909357806e-07,6.727467273394515e-08,0.0,0.0,0.0,0.0,0.0,0.9999998654506544
13,0.9999995290772908,2.0182401820183546e-07,1.345493454678903e-07,6.727467273394515e-08,0.0,6.727467273394515e-08,0.0,0.0,0.9999999327253272
14,0.9999994618026181,2.690986909357806e-07,1.345493454678903e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,0.9999999327253272
15,0.9999994618026181,2.690986909357806e-07,1.345493454678903e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,0.9999999327253272
16,0.9999994618026181,3.363733636697258e-07,1.345493454678903e-07,6.727467273394515e-08,6.727467273394515e-08,0.0,0.0,0.0,1.0
